id,text,cluster,cluster_size
183,"Fire detection: Lat=-30.720, Lon=147.775, Brightness=345.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
184,"Fire detection: Lat=-30.718, Lon=147.770, Brightness=356.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
185,"Fire detection: Lat=-30.717, Lon=147.774, Brightness=348.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
186,"Fire detection: Lat=-30.715, Lon=147.766, Brightness=336.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
187,"Fire detection: Lat=-30.714, Lon=147.770, Brightness=342.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
188,"Fire detection: Lat=-30.591, Lon=150.581, Brightness=334.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
189,"Fire detection: Lat=-30.587, Lon=150.584, Brightness=367.0, Confidence=80.0%, Date=2025-09-04 351, Satellite=N",0,2435
190,"Fire detection: Lat=-30.583, Lon=150.583, Brightness=331.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
191,"Fire detection: Lat=-30.575, Lon=151.855, Brightness=346.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
192,"Fire detection: Lat=-30.573, Lon=153.000, Brightness=331.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
193,"Fire detection: Lat=-30.519, Lon=151.951, Brightness=338.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
194,"Fire detection: Lat=-30.518, Lon=151.956, Brightness=330.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
195,"Fire detection: Lat=-30.473, Lon=152.444, Brightness=325.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
196,"Fire detection: Lat=-30.445, Lon=136.857, Brightness=338.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
197,"Fire detection: Lat=-30.266, Lon=148.570, Brightness=367.0, Confidence=80.0%, Date=2025-09-04 351, Satellite=N",0,2435
198,"Fire detection: Lat=-30.243, Lon=149.865, Brightness=347.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
199,"Fire detection: Lat=-30.242, Lon=149.869, Brightness=338.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
